"Date","Rate"
Jan 1934,0.72
Feb 1934,0.62
Mar 1934,0.24
Apr 1934,0.15
May 1934,0.16
Jun 1934,0.15
Jul 1934,0.15
Aug 1934,0.19
Sep 1934,0.21
Oct 1934,0.27
Nov 1934,0.25
Dec 1934,0.23
Jan 1935,0.2
Feb 1935,0.19
Mar 1935,0.15
Apr 1935,0.15
May 1935,0.15
Jun 1935,0.15
Jul 1935,0.15
Aug 1935,0.16
Sep 1935,0.2
Oct 1935,0.2
Nov 1935,0.16
Dec 1935,0.15
Jan 1936,0.2
Feb 1936,0.2
Mar 1936,0.2
Apr 1936,0.2
May 1936,0.2
Jun 1936,0.2
Jul 1936,0.15
Aug 1936,0.2
Sep 1936,0.16
Oct 1936,0.13
Nov 1936,0.11
Dec 1936,0.12
Jan 1937,0.17
Feb 1937,0.15
Mar 1937,0.38
Apr 1937,0.56
May 1937,0.41
Jun 1937,0.36
Jul 1937,0.28
Aug 1937,0.29
Sep 1937,0.31
Oct 1937,0.2
Nov 1937,0.09
Dec 1937,0.11
Jan 1938,0.1
Feb 1938,0.08
Mar 1938,0.08
Apr 1938,0.09
May 1938,0.05
Jun 1938,0.05
Jul 1938,0.07
Aug 1938,0.06
Sep 1938,0.08
Oct 1938,0.05
Nov 1938,0.04
Dec 1938,0.03
Jan 1939,0.03
Feb 1939,0.03
Mar 1939,0.03
Apr 1939,0.03
May 1939,0.03
Jun 1939,0.03
Jul 1939,0.04
Aug 1939,0.05
Sep 1939,0.14
Oct 1939,0.05
Nov 1939,0.05
Dec 1939,0.04
Jan 1940,0.01
Feb 1940,0.02
Mar 1940,0.02
Apr 1940,0.02
May 1940,0.06
Jun 1940,0.1
Jul 1940,0.05
Aug 1940,0.04
Sep 1940,0.05
Oct 1940,0.02
Nov 1940,0.02
Dec 1940,0.02
Jan 1941,0.02
Feb 1941,0.04
Mar 1941,0.11
Apr 1941,0.1
May 1941,0.11
Jun 1941,0.12
Jul 1941,0.12
Aug 1941,0.13
Sep 1941,0.1
Oct 1941,0.09
Nov 1941,0.28
Dec 1941,0.33
Jan 1942,0.27
Feb 1942,0.25
Mar 1942,0.25
Apr 1942,0.32
May 1942,0.37
Jun 1942,0.37
Jul 1942,0.38
Aug 1942,0.38
Sep 1942,0.38
Oct 1942,0.38
Nov 1942,0.38
Dec 1942,0.38
Jan 1943,0.38
Feb 1943,0.38
Mar 1943,0.38
Apr 1943,0.38
May 1943,0.38
Jun 1943,0.38
Jul 1943,0.38
Aug 1943,0.38
Sep 1943,0.38
Oct 1943,0.38
Nov 1943,0.38
Dec 1943,0.38
Jan 1944,0.38
Feb 1944,0.38
Mar 1944,0.38
Apr 1944,0.38
May 1944,0.38
Jun 1944,0.38
Jul 1944,0.38
Aug 1944,0.38
Sep 1944,0.38
Oct 1944,0.38
Nov 1944,0.38
Dec 1944,0.38
Jan 1945,0.38
Feb 1945,0.38
Mar 1945,0.38
Apr 1945,0.38
May 1945,0.38
Jun 1945,0.38
Jul 1945,0.38
Aug 1945,0.38
Sep 1945,0.38
Oct 1945,0.38
Nov 1945,0.38
Dec 1945,0.38
Jan 1946,0.38
Feb 1946,0.38
Mar 1946,0.38
Apr 1946,0.38
May 1946,0.38
Jun 1946,0.38
Jul 1946,0.38
Aug 1946,0.38
Sep 1946,0.38
Oct 1946,0.38
Nov 1946,0.38
Dec 1946,0.38
Jan 1947,0.38
Feb 1947,0.38
Mar 1947,0.38
Apr 1947,0.38
May 1947,0.38
Jun 1947,0.38
Jul 1947,0.66
Aug 1947,0.75
Sep 1947,0.8
